benchmark,system,setting,instance,N,status,time,timeout,memout,error,models,clingo_total,grounding,solving,mem,choices,conflicts,restarts,rules,variables,atoms,constraints,decide_calls,lazy_active,avg_candidates_per_decide,max_candidates_seen,total_candidates_seen,total_decide_time_ms,total_prolog_query_time_ms,total_candidate_scan_time_ms,total_candidate_selection_time_ms,total_literal_lookup_time_ms,total_state_sync_time_ms,par2
HRP,clingo-native,gc_noheur,house-16,16,SATISFIABLE,0.13,0,0,0,1.0,0.102,0.08199999999999999,0.02,23.0,1413.0,459.0,5.0,77200.0,23474.0,3128.0,138378.0,,,,,,,,,,,,0.13
HRP,clingo-native,gc_noheur,house-18,18,SATISFIABLE,0.17,0,0,0,1.0,0.142,0.12199999999999998,0.02,23.0,2144.0,411.0,4.0,107146.0,32164.0,3802.0,192276.0,,,,,,,,,,,,0.17
HRP,clingo-native,gc_noheur,house-20,20,SATISFIABLE,0.38,0,0,0,1.0,0.225,0.195,0.03,35.0,3105.0,456.0,5.0,144004.0,42774.0,4540.0,258630.0,,,,,,,,,,,,0.38
HRP,clingo-native,la,house-2,2,SATISFIABLE,0.03,0,0,0,1.0,0.004,0.004,0.0,0.0,12.0,0.0,0.0,724.0,334.0,342.0,1267.0,,,,,,,,,,,,0.03
HRP,clingo-native,la,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.008,0.008,0.0,0.0,26.0,0.0,0.0,3897.0,1422.0,1193.0,6430.0,,,,,,,,,,,,0.03
HRP,clingo-native,la,house-6,6,SATISFIABLE,0.04,0,0,0,1.0,0.015,0.015,0.0,0.0,38.0,0.0,0.0,10153.0,3216.0,2169.0,16568.0,,,,,,,,,,,,0.04
HRP,clingo-native,la,house-8,8,SATISFIABLE,0.05,0,0,0,1.0,0.027,0.027,0.0,0.0,50.0,0.0,0.0,21807.0,6206.0,3425.0,35518.0,,,,,,,,,,,,0.05
HRP,clingo-native,la,house-10,10,SATISFIABLE,0.07,0,0,0,1.0,0.046,0.046,0.0,0.0,62.0,0.0,0.0,41133.0,10644.0,4961.0,66244.0,,,,,,,,,,,,0.07
HRP,clingo-native,la,house-12,12,SATISFIABLE,0.1,0,0,0,1.0,0.073,0.073,0.0,0.0,74.0,0.0,0.0,70819.0,16818.0,6777.0,112346.0,,,,,,,,,,,,0.1
HRP,clingo-native,la,house-14,14,SATISFIABLE,0.14,0,0,0,1.0,0.116,0.116,0.0,25.0,86.0,0.0,0.0,113937.0,25016.0,8873.0,177808.0,,,,,,,,,,,,0.14
HRP,clingo-native,la,house-16,16,SATISFIABLE,0.2,0,0,0,1.0,0.17,0.17,0.0,20.0,98.0,0.0,0.0,173943.0,35526.0,11249.0,266998.0,,,,,,,,,,,,0.2
HRP,clingo-native,la,house-18,18,SATISFIABLE,0.3,0,0,0,1.0,0.268,0.258,0.01,37.0,110.0,0.0,0.0,254677.0,48636.0,13905.0,384668.0,,,,,,,,,,,,0.3
HRP,clingo-native,la,house-20,20,SATISFIABLE,0.41,0,0,0,1.0,0.371,0.361,0.01,48.0,122.0,0.0,0.0,360363.0,64634.0,16841.0,535954.0,,,,,,,,,,,,0.41
HRP,clingo-native,lc,house-2,2,SATISFIABLE,0.03,0,0,0,1.0,0.005,0.005,0.0,0.0,15.0,2.0,0.0,727.0,334.0,345.0,1267.0,,,,,,,,,,,,0.03
HRP,clingo-native,lc,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.009,0.009,0.0,0.0,42.0,2.0,0.0,3900.0,1422.0,1196.0,6430.0,,,,,,,,,,,,0.03
HRP,clingo-native,lc,house-6,6,SATISFIABLE,0.05,0,0,0,1.0,0.019,0.019,0.0,0.0,96.0,12.0,0.0,10156.0,3216.0,2172.0,16568.0,,,,,,,,,,,,0.05
HRP,clingo-native,lc,house-8,8,SATISFIABLE,0.06,0,0,0,1.0,0.03,0.03,0.0,0.0,431.0,94.0,1.0,21810.0,6206.0,3428.0,35518.0,,,,,,,,,,,,0.06
HRP,clingo-native,lc,house-10,10,SATISFIABLE,0.09,0,0,0,1.0,0.063,0.043,0.02,0.0,1864.0,485.0,5.0,41136.0,10644.0,4964.0,66244.0,,,,,,,,,,,,0.09
HRP,clingo-native,lc,house-12,12,SATISFIABLE,0.21,0,0,0,1.0,0.181,0.071,0.11,21.0,7084.0,2406.0,14.0,70822.0,16818.0,6780.0,112346.0,,,,,,,,,,,,0.21
HRP,clingo-native,lc,house-14,14,SATISFIABLE,1.78,0,0,0,1.0,1.752,0.1120000000000001,1.64,27.0,66717.0,32353.0,126.0,113940.0,25016.0,8876.0,177808.0,,,,,,,,,,,,1.78
HRP,clingo-native,lc,house-16,16,UNKNOWN,300,1,0,0,0.0,299.989,0.16899999999998272,299.82,43.0,10030243.0,5586478.0,12096.0,173946.0,35526.0,11252.0,266998.0,,,,,,,,,,,,600
HRP,clingo-native,lc,house-18,18,UNKNOWN,300,1,0,0,0.0,299.989,0.2489999999999668,299.74,52.0,9502286.0,4741982.0,9847.0,254680.0,48636.0,13908.0,384668.0,,,,,,,,,,,,600
HRP,clingo-native,lc,house-20,20,UNKNOWN,300,1,0,0,0.0,299.99,0.35000000000002274,299.64,65.0,9215580.0,4056315.0,8190.0,360366.0,64634.0,16844.0,535954.0,,,,,,,,,,,,600
HRP,clingo-prolog,ga,house-2,2,SATISFIABLE,0.03,0,0,0,1.0,0.004,0.004,0.0,0.0,12.0,0.0,0.0,621.0,295.0,176.0,1132.0,,,,,,,,,,,,0.03
HRP,clingo-prolog,ga,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.007,0.007,0.0,0.0,28.0,0.0,0.0,3439.0,1200.0,551.0,5548.0,,,,,,,,,,,,0.03
HRP,clingo-prolog,ga,house-6,6,SATISFIABLE,0.04,0,0,0,1.0,0.013,0.013,0.0,0.0,40.0,0.0,0.0,9147.0,2696.0,931.0,14368.0,,,,,,,,,,,,0.04
HRP,clingo-prolog,ga,house-8,8,SATISFIABLE,0.05,0,0,0,1.0,0.022,0.022,0.0,0.0,52.0,0.0,0.0,19973.0,5196.0,1399.0,31088.0,,,,,,,,,,,,0.05
HRP,clingo-prolog,ga,house-10,10,SATISFIABLE,0.11,0,0,0,1.0,0.046,0.046,0.0,0.0,64.0,0.0,0.0,38143.0,8904.0,1955.0,58432.0,,,,,,,,,,,,0.11
HRP,clingo-prolog,ga,house-12,12,SATISFIABLE,0.09,0,0,0,1.0,0.061,0.061,0.0,0.0,76.0,0.0,0.0,66297.0,14060.0,2599.0,99760.0,,,,,,,,,,,,0.09
HRP,clingo-prolog,ga,house-14,14,SATISFIABLE,0.13,0,0,0,1.0,0.096,0.096,0.0,23.0,88.0,0.0,0.0,107459.0,20904.0,3331.0,158816.0,,,,,,,,,,,,0.13
HRP,clingo-prolog,ga,house-16,16,SATISFIABLE,0.17,0,0,0,1.0,0.142,0.142,0.0,20.0,100.0,0.0,0.0,165037.0,29676.0,4151.0,239728.0,,,,,,,,,,,,0.17
HRP,clingo-prolog,ga,house-18,18,SATISFIABLE,0.26,0,0,0,1.0,0.229,0.229,0.0,35.0,105.0,0.0,0.0,242823.0,40616.0,5059.0,347008.0,,,,,,,,,,,,0.26
HRP,clingo-prolog,ga,house-20,20,SATISFIABLE,0.35,0,0,0,1.0,0.313,0.313,0.0,46.0,116.0,0.0,0.0,344993.0,53964.0,6055.0,485552.0,,,,,,,,,,,,0.35
HRP,clingo-prolog,gc,house-2,2,SATISFIABLE,0.03,0,0,0,1.0,0.004,0.004,0.0,0.0,6.0,1.0,0.0,630.0,337.0,176.0,1336.0,,,,,,,,,,,,0.03
HRP,clingo-prolog,gc,house-4,4,SATISFIABLE,0.03,0,0,0,1.0,0.008,0.008,0.0,0.0,23.0,1.0,0.0,3547.0,1440.0,551.0,6796.0,,,,,,,,,,,,0.03
